Time	x	p
626.025	-0.458552	-0.442865
627.025	-0.473132	-0.52889
628.025	-0.490286	-0.614439
629.025	-0.509998	-0.699435
630.025	-0.532252	-0.783801
631.025	-0.557026	-0.867462
632.025	-0.5843	-0.950342
633.025	-0.614047	-1.03237
634.025	-0.646242	-1.11346
635.025	-0.680855	-1.19356
636.025	-0.717855	-1.27258
637.025	-0.757209	-1.35045
638.026	-0.798882	-1.42711
639.026	-0.842836	-1.50248
640.026	-0.889031	-1.5765
641.026	-0.937426	-1.64911
642.026	-0.987977	-1.72023
643.026	-1.04064	-1.7898
644.026	-1.09537	-1.85776
645.026	-1.1521	-1.92404
646.026	-1.21081	-1.9886
647.026	-1.27142	-2.05137
648.026	-1.33389	-2.11229
649.026	-1.39816	-2.17131
650.026	-1.46417	-2.22837
651.026	-1.53186	-2.28343
652.026	-1.60117	-2.33644
653.026	-1.67205	-2.38734
654.026	-1.74441	-2.43609
655.026	-1.81821	-2.48265
656.026	-1.89337	-2.52698
657.026	-1.96983	-2.56903
658.026	-2.04752	-2.60877
659.026	-2.12636	-2.64616
660.026	-2.20629	-2.68117
661.026	-2.28723	-2.71377
662.026	-2.36911	-2.74392
663.027	-2.45186	-2.77161
664.027	-2.53541	-2.7968
665.027	-2.61967	-2.81947
666.027	-2.70458	-2.83961
667.027	-2.79005	-2.85719
668.027	-2.87601	-2.8722
669.027	-2.96238	-2.88462
670.027	-3.04909	-2.89445
671.027	-3.13605	-2.90168
672.027	-3.22319	-2.90629
673.027	-3.31042	-2.90828
674.027	-3.39768	-2.90766
675.027	-3.48488	-2.90442
676.027	-3.57195	-2.89857
677.027	-3.6588	-2.89011
678.027	-3.74535	-2.87905
679.027	-3.83154	-2.86539
680.027	-3.91728	-2.84916
681.027	-4.00249	-2.83036
682.027	-4.0871	-2.80902
683.027	-4.17103	-2.78515
684.027	-4.25421	-2.75877
685.027	-4.33656	-2.72991
686.027	-4.418	-2.69859
687.027	-4.49847	-2.66484
688.028	-4.57789	-2.6287
689.028	-4.6562	-2.59019
690.028	-4.73331	-2.54934
691.028	-4.80916	-2.50621
692.028	-4.88368	-2.46081
693.028	-4.9568	-2.41321
694.028	-5.02847	-2.36343
695.028	-5.09861	-2.31152
696.028	-5.16716	-2.25754
697.028	-5.23406	-2.20152
698.028	-5.29925	-2.14352
699.028	-5.36267	-2.08359
700.028	-5.42427	-2.02178
701.028	-5.48398	-1.95816
702.028	-5.54176	-1.89277
703.028	-5.59755	-1.82568
704.028	-5.6513	-1.75695
705.028	-5.70296	-1.68664
706.028	-5.7525	-1.61481
707.028	-5.79985	-1.54152
708.028	-5.84499	-1.46685
709.028	-5.88786	-1.39086
710.028	-5.92844	-1.31361
711.028	-5.96668	-1.23518
712.028	-6.00255	-1.15565
713.029	-6.03602	-1.07507
714.029	-6.06705	-0.993521
715.029	-6.09563	-0.911081
716.029	-6.12172	-0.827821
717.029	-6.1453	-0.743815
718.029	-6.16635	-0.659141
719.029	-6.18485	-0.573873
720.029	-6.20078	-0.488088
721.029	-6.21413	-0.401865
722.029	-6.22489	-0.315279
723.029	-6.23305	-0.22841
724.029	-6.2386	-0.141335
725.029	-6.24153	-0.0541334
726.029	-6.24185	0.0331172
727.029	-6.23954	0.120338
728.029	-6.23463	0.207451
729.029	-6.2271	0.294376
730.029	-6.21696	0.381037
731.029	-6.20423	0.467355
732.029	-6.18892	0.553253
733.029	-6.17104	0.638652
734.029	-6.1506	0.723477
735.029	-6.12763	0.80765
736.029	-6.10214	0.891097
737.029	-6.07416	0.973741
738.03	-6.04372	1.05551
739.03	-6.01083	1.13633
740.03	-5.97554	1.21612
741.03	-5.93787	1.29482
742.03	-5.89785	1.37236
743.03	-5.85552	1.44866
744.03	-5.81093	1.52366
745.03	-5.76411	1.59728
746.03	-5.71509	1.66947
747.03	-5.66394	1.74016
748.03	-5.61068	1.80928
749.03	-5.55538	1.87677
750.03	-5.49808	1.94257
751.03	-5.43883	2.00662
752.03	-5.37768	2.06887
753.03	-5.31469	2.12926
754.03	-5.24992	2.18772
755.03	-5.18343	2.24423
756.03	-5.11527	2.29871
757.03	-5.04551	2.35112
758.03	-4.9742	2.40141
759.03	-4.90142	2.44955
760.03	-4.82723	2.49548
761.03	-4.75169	2.53916
762.03	-4.67488	2.58056
763.031	-4.59686	2.61964
764.031	-4.5177	2.65635
765.031	-4.43748	2.69068
766.031	-4.35626	2.72259
767.031	-4.27412	2.75204
768.031	-4.19114	2.77902
769.031	-4.10738	2.8035
770.031	-4.02293	2.82546
771.031	-3.93786	2.84487
772.031	-3.85224	2.86172
773.031	-3.76615	2.87599
774.031	-3.67968	2.88768
775.031	-3.59289	2.89677
776.031	-3.50587	2.90325
777.031	-3.4187	2.90712
778.031	-3.33144	2.90837
779.031	-3.24419	2.90701
780.031	-3.15702	2.90303
781.031	-3.07001	2.89643
782.031	-2.98324	2.88723
783.031	-2.89678	2.87543
784.031	-2.81071	2.86104
785.031	-2.72512	2.84408
786.031	-2.64007	2.82456
787.031	-2.55564	2.80249
788.032	-2.47192	2.77791
789.032	-2.38897	2.75082
790.032	-2.30687	2.72126
791.032	-2.22569	2.68925
792.032	-2.14551	2.65481
793.032	-2.0664	2.61799
794.032	-1.98843	2.57882
795.032	-1.91168	2.53732
796.032	-1.8362	2.49354
797.032	-1.76206	2.44751
798.032	-1.68935	2.39928
799.032	-1.61811	2.34889
800.032	-1.54841	2.29639
801.032	-1.48032	2.24182
802.032	-1.4139	2.18523
803.032	-1.34921	2.12668
804.032	-1.2863	2.06621
805.032	-1.22524	2.00389
806.032	-1.16607	1.93976
807.032	-1.10885	1.87388
808.032	-1.05364	1.80632
809.032	-1.00047	1.73713
810.032	-0.949408	1.66638
811.032	-0.900489	1.59413
812.032	-0.85376	1.52044
813.033	-0.809263	1.44538
814.033	-0.767037	1.36903
815.033	-0.727121	1.29144
816.033	-0.689551	1.21269
817.033	-0.65436	1.13285
818.033	-0.62158	1.05199
819.033	-0.59124	0.970182
820.033	-0.563369	0.887501
821.033	-0.53799	0.804021
822.033	-0.515127	0.719818
823.033	-0.494801	0.634967
824.033	-0.477029	0.549544
825.033	-0.461828	0.463627
826.033	-0.449212	0.377293
827.033	-0.439191	0.290619
828.033	-0.431775	0.203683
829.033	-0.42697	0.116564
830.033	-0.424781	0.0293408
831.033	-0.425209	-0.0579094
832.033	-0.428255	-0.145107
833.033	-0.433916	-0.232175
834.033	-0.442186	-0.319033
835.033	-0.453058	-0.405605
836.033	-0.466522	-0.491811
837.033	-0.482566	-0.577575
838.034	-0.501177	-0.662819
839.034	-0.522336	-0.747466
840.034	-0.546024	-0.83144
841.034	-0.572222	-0.914667
842.034	-0.600904	-0.99707
843.034	-0.632046	-1.07858
844.034	-0.665619	-1.15911
845.034	-0.701593	-1.2386
846.034	-0.739935	-1.31698
847.034	-0.780612	-1.39417
848.034	-0.823585	-1.47011
849.034	-0.868818	-1.54472
850.034	-0.916269	-1.61795
851.034	-0.965895	-1.68971
852.034	-1.01765	-1.75996
853.034	-1.07149	-1.82862
854.034	-1.12737	-1.89564
855.034	-1.18523	-1.96095
856.034	-1.24503	-2.0245
857.034	-1.3067	-2.08622
858.034	-1.3702	-2.14607
859.034	-1.43546	-2.20398
860.034	-1.50244	-2.25991
861.034	-1.57106	-2.31381
862.034	-1.64127	-2.36563
863.035	-1.713	-2.41531
864.035	-1.78619	-2.46283
